"Table S1 Complete dataset used from train and validated machine learning methods, which are collected from literature data. ",,,,,,,,,,,,,,,,
Citation,Sample Name,Tectonic Setting,,Latitude ,Longitude ,Rock Name,Rock Type,P,Ti,Y,Nb,Dy,Yb,U,Hf,Th
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,305,6.8,1156,23,120,333,290,11224,150
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,423,8.5,2391,14,260,648,385,11644,311
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,171,6.7,477,13,46,150,120,11283,46
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,1274,12.7,4643,105,463,1244,1643,12008,1387
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,235,11.9,847,10,95,232,105,9177,55
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,406,8.9,1360,25,137,391,377,11968,233
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,261,10,1053,19,109,284,214,11309,112
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,441,8,1687,31,166,475,399,11400,241
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,286,11.8,2376,14,286,568,211,9036,153
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,200,11.6,807,15,82,210,102,10465,51
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,226,14.6,720,9,81,208,80,8857,42
[17449] STELTEN M. E. (2013),samp. HVF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,452,8.2,2615,14,266,688,406,11903,338
